pedido_id,cliente_id,product_id,quantidade,data_pedido,canal_venda
PED000001,C00166,P00022,3,2026-08-24,Loja Fisica
PED000002,C00143,P00044,13,2026-08-23,Televendas
PED000003,C00186,P00055,22,2026-09-13,E-commerce
PED000004,C00086,P00006,19,2026-09-04,E-commerce
PED000005,C00090,P00020,21,2026-09-05,Marketplace
PED000006,C00034,P00039,23,2026-09-13,Loja Fisica
PED000007,C00080,P00036,13,2026-09-03,Televendas
PED000008,C00033,P00043,23,2026-09-09,Loja Fisica
PED000009,C00166,P00043,14,2026-08-30,Televendas
PED000010,C00005,P00024,10,2026-08-19,E-commerce
PED000011,C00088,P00050,16,2026-08-20,E-commerce
PED000012,C00036,P00010,3,2026-08-23,Loja Fisica
PED000013,C00130,P00050,18,2026-09-09,Loja Fisica
PED000014,C00170,P00022,25,2026-09-02,E-commerce
PED000015,C00153,P00025,5,2026-08-19,E-commerce
PED000016,C00178,P91715,20,2026-09-08,E-commerce
PED000017,C00106,P00024,22,2026-09-06,E-commerce
PED000018,C00114,P00040,10,2026-09-07,Marketplace
PED000019,C00060,P00035,8,2026-08-23,Marketplace
PED000020,C00050,P00024,22,2026-09-13,Marketplace
PED000021,C00119,P00050,10,2026-09-07,Marketplace
PED000022,C00129,P00034,14,2026-09-13,E-commerce
PED000023,C00052,P00052,20,2026-08-18,Televendas
PED000024,C00014,P00042,16,2026-09-10,Televendas
PED000025,C00142,P00060,4,2026-09-05,Loja Fisica
PED000026,C00073,P00006,25,2026-08-19,Televendas
PED000027,C00116,P00058,17,2026-08-18,Marketplace
PED000028,C00024,P00059,8,2026-09-09,Marketplace
PED000029,C00090,P00060,1,2026-08-27,Loja Fisica
PED000030,C00102,P00033,12,2026-08-21,Marketplace
PED000031,C00021,P00024,8,2026-08-14,Televendas
PED000032,C00026,P00054,23,2026-09-03,Televendas
PED000033,C00038,P00009,2,2026-08-23,Marketplace
PED000034,C00179,P00054,5,2026-09-07,Marketplace
PED000035,C00115,P00040,1,2026-09-11,Loja Fisica
PED000036,C00005,P00017,7,2026-09-09,E-commerce
PED000037,C00141,P00047,20,2026-08-30,Marketplace
PED000038,C00029,P00050,10,2026-08-21,Televendas
PED000039,C00032,P00004,-2,2026-08-27,Marketplace
PED000040,C00128,P00039,18,2026-08-14,E-commerce
PED000041,C00184,P00010,10,2026-08-27,Loja Fisica
PED000042,C00158,P00023,8,2026-09-01,Marketplace
PED000043,C00048,P00043,-9,2026-08-16,Televendas
PED000044,C00140,P00033,17,2026-08-31,Loja Fisica
PED000045,C00100,P00056,16,2026-08-15,Marketplace
PED000046,C00096,P00017,24,2026-08-14,Televendas
PED000047,C00018,P00023,8,2026-09-06,Loja Fisica
PED000048,C00198,P00038,24,2026-09-07,Televendas
PED000049,C00035,P00003,12,2026-08-31,Televendas
PED000050,C00165,P00012,25,2026-09-04,Marketplace
PED000051,C00179,P00031,21,2026-08-19,E-commerce
PED000052,C00017,P00046,25,2026-09-13,Marketplace
PED000053,C00010,P00019,7,2026-08-15,E-commerce
PED000054,C00011,P00021,10,2026-08-30,Marketplace
PED000055,C00140,P00031,9,2026-08-15,E-commerce
PED000056,C00074,P00023,25,2026-08-15,Televendas
PED000057,C00070,P00008,12,2026-08-27,Marketplace
PED000058,C00191,P00029,13,2026-08-24,E-commerce
PED000059,C00128,P00045,16,2026-08-25,Televendas
PED000060,C00022,P00047,14,2026-08-16,Marketplace
PED000061,C00155,P00053,6,2026-08-31,Televendas
PED000062,C00083,P00007,3,2026-08-24,Televendas
PED000063,C00079,P00029,20,2026-09-05,Marketplace
PED000064,C00043,P00045,15,2026-08-25,Marketplace
PED000065,C00011,P00047,12,2026-09-02,Marketplace
PED000066,C00071,P00041,2,2026-08-16,Marketplace
PED000067,C00094,P00033,24,2026-09-04,E-commerce
PED000068,C00008,P00010,20,2026-09-04,Marketplace
PED000069,C00009,P00009,3,2026-08-21,Televendas
PED000070,C00093,P00025,19,2026-08-15,E-commerce
PED000071,C00174,P00029,12,2026-08-25,Marketplace
PED000072,C00196,P00005,19,2026-08-18,Televendas
PED000073,C00102,P00021,21,2026-08-22,E-commerce
PED000074,C00030,P00002,24,2026-08-19,Marketplace
PED000075,C00133,P00025,18,2026-08-17,Televendas
PED000076,C00199,P00017,23,2026-08-28,E-commerce
PED000077,C00157,P00019,23,2026-09-12,Marketplace
PED000078,C00052,P93828,5,2026-09-10,Loja Fisica
PED000079,C00183,P00029,3,2026-09-08,Televendas
PED000080,C00171,P00023,23,2026-08-16,Televendas
PED000081,C99335,P00055,6,2026-09-05,E-commerce
PED000082,C00058,P00008,7,2026-09-08,E-commerce
PED000083,C00061,P00051,16,2026-08-14,Televendas
PED000084,C00142,P00037,12,2026-08-28,E-commerce
PED000085,C00157,P98842,3,2026-08-16,Televendas
PED000086,C00135,P00027,25,2026-08-27,Loja Fisica
PED000087,C00033,P99476,21,2026-08-16,Marketplace
PED000088,C00089,P00009,25,2026-08-31,E-commerce
PED000089,C00197,P00009,14,2026-08-30,Loja Fisica
PED000090,C00032,P00034,5,2026-08-23,E-commerce
PED000091,C00042,P00021,23,2026-08-21,Televendas
PED000092,C00133,P00058,10,2026-09-10,Loja Fisica
PED000093,C00065,P00013,21,2026-09-13,Televendas
PED000094,C00033,P00041,0,2026-09-02,Loja Fisica
PED000095,C00152,P00038,5,2026-08-19,Televendas
PED000096,C00145,P00003,1,2026-08-16,Loja Fisica
PED000097,C00165,P00050,19,2026-08-22,E-commerce
PED000098,C00197,P00037,14,2026-09-02,Loja Fisica
PED000099,C00128,P00057,21,2026-08-31,Televendas
PED000100,C00165,P00020,16,2026-08-21,Marketplace
PED000101,C00077,P00030,3,2026-09-05,Loja Fisica
PED000102,C00041,P00029,14,2026-08-29,Marketplace
PED000103,C00053,P00022,20,2026-08-18,Televendas
PED000104,C00184,P00021,24,2026-09-10,Televendas
PED000105,C00103,P00009,25,2026-08-25,Loja Fisica
PED000106,C00082,P00016,15,2026-08-17,Televendas
PED000107,C00116,P00016,5,2026-08-17,Loja Fisica
PED000108,C00075,P00025,0,2026-08-27,E-commerce
PED000109,C00084,P00060,19,2026-09-06,Televendas
PED000110,C00049,P00049,6,2026-08-29,Marketplace
PED000111,C00128,P00057,10,2026-08-29,Loja Fisica
PED000112,C00024,P00026,17,2026-08-28,E-commerce
PED000113,C99108,P00038,12,2026-08-15,Loja Fisica
PED000114,C00153,P00057,21,2026-09-04,Marketplace
PED000115,C00074,P00035,1,2026-09-10,Loja Fisica
PED000116,C00111,P96995,9,2026-09-06,Televendas
PED000117,C95728,P00026,2,2026-09-01,E-commerce
PED000118,C00019,P00025,17,2026-08-28,Televendas
PED000119,C00160,P00044,20,2026-08-17,E-commerce
PED000120,C00025,P00026,12,2026-09-08,Televendas
PED000121,C00143,P00024,25,2026-08-18,E-commerce
PED000122,C00155,P00033,13,2026-08-30,Loja Fisica
PED000123,C00012,P00003,5,2026-09-05,Televendas
PED000124,C00122,P00034,15,2026-08-18,E-commerce
PED000125,C00084,P00060,20,2026-08-24,E-commerce
PED000126,C00101,P00040,24,2026-09-09,Televendas
PED000127,C98780,P00022,17,2026-09-09,Marketplace
PED000128,C00005,P00024,11,2026-09-04,Loja Fisica
PED000129,C00107,P00038,10,2026-09-08,Loja Fisica
PED000130,C00153,P00031,9,2026-09-13,E-commerce
PED000131,C00185,P00004,19,2026-08-29,E-commerce
PED000132,C00135,P00041,24,2026-09-02,Marketplace
PED000133,C00038,P00053,22,2026-08-21,Loja Fisica
PED000134,C00147,P00045,4,2026-08-20,Loja Fisica
PED000135,C00113,P00021,14,2026-08-18,Marketplace
PED000136,C00177,P00014,14,2026-08-30,Marketplace
PED000137,C00189,P00047,2,2026-09-05,E-commerce
PED000138,C00133,P00014,18,2026-08-24,Marketplace
PED000139,C00135,P00025,11,2026-09-13,E-commerce
PED000140,C98932,P00059,18,2026-08-24,Televendas
PED000141,C00050,P00016,9,2026-08-31,Televendas
PED000142,C00058,P00020,25,2026-08-23,E-commerce
PED000143,C00177,P00046,16,2026-08-24,Marketplace
PED000144,C00090,P00036,24,2026-08-22,Televendas
PED000145,C00032,P00037,22,2026-08-31,Marketplace
PED000146,C00102,P00053,12,2026-09-13,E-commerce
PED000147,C00075,P00003,10,2026-09-13,Loja Fisica
PED000148,C00089,P94505,15,2026-09-03,Televendas
PED000149,C00052,P00053,18,2026-08-22,Televendas
PED000150,C00036,P00007,20,2026-09-06,E-commerce
PED000151,C00063,P00004,22,2026-09-11,E-commerce
PED000152,C98739,P00015,2,2026-08-17,Marketplace
PED000153,C00026,P00044,25,2026-08-18,Loja Fisica
PED000154,C00141,P00060,6,2026-08-27,Marketplace
PED000155,C95676,P00042,7,2026-09-07,Televendas
PED000156,C00166,P00004,25,2026-08-16,E-commerce
PED000157,C00137,P00048,0,2026-09-10,Loja Fisica
PED000158,C00107,P99116,6,2026-09-12,Loja Fisica
PED000159,C00048,P00060,24,2026-09-13,Televendas
PED000160,C95662,P00001,10,2026-09-01,Loja Fisica
PED000161,C00117,P00042,18,2026-08-30,Marketplace
PED000162,C00035,P00055,0,2026-08-28,Televendas
PED000163,C00029,P00022,6,2026-09-06,Marketplace
PED000164,C00166,P00017,23,2026-08-19,Loja Fisica
PED000165,C00189,P00022,10,2026-09-01,E-commerce
