product_id,nome_produto,categoria,preco,fornecedor
P00001,Eletronicos Modelo 001,Eletronicos,4595.23,Fornecedor Beta
P00002,Alimentos Modelo 002,Alimentos,56.14,Fornecedor Beta
P00003,Vestuario Modelo 003,Vestuario,79.21,Fornecedor Gama
P00004,Informatica Modelo 004,Informatica,8124.11,Fornecedor Gama
P00005,Eletronicos Modelo 005,Eletronicos,2798.56,Fornecedor Beta
P00006,Eletronicos Modelo 006,Eletronicos,6186.42,Fornecedor Delta
P00007,Eletronicos Modelo 007,Eletronicos,4426.03,Fornecedor Alfa
P00008,Eletronicos Modelo 008,Eletronicos,5188.79,Fornecedor Beta
P00009,Moveis Modelo 009,Moveis,2556.67,Fornecedor Beta
P00010,Eletronicos Modelo 010,Eletronicos,5453.38,Fornecedor Beta
P00011,Informatica Modelo 011,Informatica,2014.13,Fornecedor Beta
P00012,Vestuario Modelo 012,Vestuario,379.59,Fornecedor Alfa
P00013,Vestuario Modelo 013,Vestuario,416.99,Fornecedor Beta
P00014,Moveis Modelo 014,Moveis,1811.45,Fornecedor Beta
P00015,Eletronicos Modelo 015,Eletronicos,4415.5,Fornecedor Alfa
P00016,Moveis Modelo 016,Moveis,224.88,Fornecedor Beta
P00017,Informatica Modelo 017,Informatica,2974.8,Fornecedor Beta
P00018,Vestuario Modelo 018,Vestuario,58.32,Fornecedor Delta
P00019,Informatica Modelo 019,Informatica,1102.62,Fornecedor Alfa
P00020,Alimentos Modelo 020,Alimentos,56.55,Fornecedor Gama
P00021,Informatica Modelo 021,Informatica,5379.56,Fornecedor Delta
P00022,Informatica Modelo 022,Informatica,2064.01,Fornecedor Alfa
P00023,Papelaria Modelo 023,Papelaria,75.06,Fornecedor Gama
P00024,Alimentos Modelo 024,Alimentos,78.98,Fornecedor Alfa
P00025,Eletronicos Modelo 025,Eletronicos,6491.31,Fornecedor Delta
P00026,Alimentos Modelo 026,Alimentos,83.9,Fornecedor Delta
P00027,Papelaria Modelo 027,Papelaria,86.69,Fornecedor Alfa
P00028,Eletronicos Modelo 028,Eletronicos,2330.99,Fornecedor Beta
P00029,Eletronicos Modelo 029,Eletronicos,1126.08,Fornecedor Gama
P00030,Alimentos Modelo 030,Alimentos,119.38,Fornecedor Gama
P00031,Alimentos Modelo 031,Alimentos,63.14,Fornecedor Delta
P00032,Eletronicos Modelo 032,Eletronicos,5227.54,Fornecedor Alfa
P00033,Papelaria Modelo 033,Papelaria,62.88,Fornecedor Beta
P00034,Alimentos Modelo 034,Alimentos,56.93,Fornecedor Beta
P00035,Alimentos Modelo 035,Alimentos,43.98,Fornecedor Delta
P00036,Alimentos Modelo 036,Alimentos,52.84,Fornecedor Alfa
P00037,Vestuario Modelo 037,Vestuario,224.91,Fornecedor Gama
P00038,Vestuario Modelo 038,Vestuario,459.35,Fornecedor Delta
P00039,Eletronicos Modelo 039,Eletronicos,911.03,Fornecedor Alfa
P00040,Eletronicos Modelo 040,Eletronicos,3006.04,Fornecedor Gama
P00041,Moveis Modelo 041,Moveis,1860.24,Fornecedor Gama
P00042,Papelaria Modelo 042,Papelaria,14.25,Fornecedor Gama
P00043,Papelaria Modelo 043,Papelaria,89.58,Fornecedor Delta
P00044,Papelaria Modelo 044,Papelaria,7.73,Fornecedor Gama
P00045,Informatica Modelo 045,Informatica,2873.92,Fornecedor Alfa
P00046,Informatica Modelo 046,Informatica,4611.05,Fornecedor Beta
P00047,Papelaria Modelo 047,Papelaria,47.36,Fornecedor Alfa
P00048,Vestuario Modelo 048,Vestuario,411.19,Fornecedor Gama
P00049,Eletronicos Modelo 049,Eletronicos,5040.02,Fornecedor Beta
P00050,Alimentos Modelo 050,Alimentos,102.19,Fornecedor Alfa
P00051,Informatica Modelo 051,Informatica,8368.14,Fornecedor Gama
P00052,Eletronicos Modelo 052,Eletronicos,1459.56,Fornecedor Gama
P00053,Vestuario Modelo 053,Vestuario,191.21,Fornecedor Beta
P00054,Moveis Modelo 054,Moveis,1890.29,Fornecedor Delta
P00055,Eletronicos Modelo 055,Eletronicos,1222.53,Fornecedor Alfa
P00056,Eletronicos Modelo 056,Eletronicos,4938.59,Fornecedor Beta
P00057,Alimentos Modelo 057,Alimentos,53.28,Fornecedor Gama
P00058,Moveis Modelo 058,Moveis,1297.56,Fornecedor Gama
P00059,Informatica Modelo 059,Informatica,5402.35,Fornecedor Alfa
P00060,Moveis Modelo 060,Moveis,655.38,Fornecedor Alfa
